,facility type,Access days time fr,open_date,latitude,longitude,street address,city,zip,state
0,,,2017-09-01,34.785416,-86.942864,21282 Athens-Limestone Blvd.,Athens,35613,AL
1,,,2015-01-01,32.627837,-85.445105,1627 Opelika Road,Auburn,36830,AL
2,,,2016-12-01,33.525826,-86.807072,2221 Richard Arrington Junior Blvd.,Birmingham,35203,AL
3,,,2015-01-01,31.855989,-86.635765,219 Interstate Drive,Greenville,36037,AL
4,,,2015-03-01,30.671556,-88.118644,3201 Airport Blvd,Mobile,36606,AL
5,,,2018-07-23,33.609937,-85.782118,1105 Oxford Exchange Blvd,Oxford,36203,AL
6,,,2017-08-01,33.933824,-86.191611,905 Steele Station Road,Steele,35987,AL
7,,,2017-09-01,34.6614,-92.41031,11201 Bass Pro Parkway,Little Rock,72210,AR
8,,,2014-03-15,33.443011,-112.556876,416  S Watson Rd,Buckeye,85326,AZ
9,,,2015-01-01,32.878773,-111.681694,2453 E. Florence Blvd,Casa Grande,85194,AZ
