,facility type,Access days time fr,open_date,latitude,longitude,street address,city,zip,state,_id
0,,,2017-09-01,34.785416,-86.942864,21282 Athens-Limestone Blvd.,Athens,35613,AL,624f1ad6d4d1951facd1c842
1,,,2015-01-01,32.627837,-85.445105,1627 Opelika Road,Auburn,36830,AL,624f1ad6d4d1951facd1c842
2,,,2016-12-01,33.525826,-86.807072,2221 Richard Arrington Junior Blvd.,Birmingham,35203,AL,624f1ad6d4d1951facd1c842
3,,,2015-01-01,31.855989,-86.635765,219 Interstate Drive,Greenville,36037,AL,624f1ad6d4d1951facd1c842
4,,,2015-03-01,30.671556,-88.118644,3201 Airport Blvd,Mobile,36606,AL,624f1ad6d4d1951facd1c842
5,,,2018-07-23,33.609937,-85.782118,1105 Oxford Exchange Blvd,Oxford,36203,AL,624f1ad6d4d1951facd1c842
6,,,2017-08-01,33.933824,-86.191611,905 Steele Station Road,Steele,35987,AL,624f1ad6d4d1951facd1c842
7,,,2017-09-01,34.6614,-92.41031,11201 Bass Pro Parkway,Little Rock,72210,AR,624f1ad6d4d1951facd1c842
8,,,2014-03-15,33.443011,-112.556876,416  S Watson Rd,Buckeye,85326,AZ,624f1ad6d4d1951facd1c842
9,,,2015-01-01,32.878773,-111.681694,2453 E. Florence Blvd,Casa Grande,85194,AZ,624f1ad6d4d1951facd1c842
10,,,2016-09-01,35.174151,-111.663194,2650 South Beulah Blvd,Flagstaff,86001,AZ,624f1ad6d4d1951facd1c842
11,,,2014-01-01,34.922962,-110.145558,2096 Navajo Blvd,Holbrook,86025,AZ,624f1ad6d4d1951facd1c842
12,,,2014-01-01,35.191331,-114.065592,789 W Beale St,Kingman,86401,AZ,624f1ad6d4d1951facd1c842
13,,,2014-10-01,34.32753,-112.11846,14925 Cordes Lakes Rd,Mayer,86333,AZ,624f1ad6d4d1951facd1c842
14,,,2016-09-01,36.924902,-111.468041,600 Clubhouse Drive,Page,86040,AZ,624f1ad6d4d1951facd1c842
15,SHOPPING_MALL,,2018-07-23,33.511837,-112.026803,2502 East Camelback Road,Phoenix,85016,AZ,624f1ad6d4d1951facd1c842
16,,,2018-07-23,33.667055,-112.120898,2805 Agua Fria Fwy,Phoenix,85027,AZ,624f1ad6d4d1951facd1c842
