,facility type,Access days time fr,open_date,latitude,longitude,street address,city,zip,state
0,SHOPPING_MALL,,1998-05-30,34.241116,-118.556708,9301 Tampa Ave,Northridge,91324,CA
1,SHOPPING_CENTER,,1998-05-30,34.156839,-118.434454,14006 Riverside Dr,Sherman Oaks,91423,CA
2,SHOPPING_MALL,,1998-05-30,34.241116,-118.556708,9301 Tampa Ave,Northridge,91324,CA
3,SHOPPING_CENTER,,1998-05-30,34.156839,-118.434454,14006 Riverside Dr,Sherman Oaks,91423,CA
4,STATE_GOV,,2012-02-15,21.30703,-157.857725,415 S Beretania St,Honolulu,96813,HI
5,MUNI_GOV,,2012-02-15,21.302295,-157.861322,564 Pohukaina,Honolulu,96813,HI
6,NATL_PARK,,2012-02-15,37.806099,-122.449461,1199 E Beach,San Francisco,94129,CA
7,SHOPPING_CENTER,,2012-01-31,21.384853,-157.941842,98-1005 Moanalua Rd,Aiea,96701,HI
8,SHOPPING_MALL,,2012-01-31,21.277863,-157.786459,4211 Waialae Ave,Honolulu,96816,HI
9,HOTEL,,2012-01-31,21.278092,-157.830594,2233 Helumoa Rd,Honolulu,96815,HI
10,HOSPITAL,,2012-03-01,21.301035,-157.846302,1010 Pensacola St,Honolulu,96814,HI
11,HOSPITAL,,2012-03-15,21.362292,-157.900139,3288 Moanalua Rd,Honolulu,96819,HI
12,STATE_GOV,,2012-01-31,21.326903,-158.085721,4675 Kapolei Pkwy,Kapolei,96707,HI
13,SHOPPING_CENTER,,2012-01-31,21.382616,-157.940099,98-1005 Moanalua Rd,Aiea,96701,HI
14,PARKING_GARAGE,,2012-06-30,21.289897,-157.835614,1801 Kalakaua Ave,Honolulu,96815,HI
15,PARKING_LOT,,2012-06-30,21.393628,-157.742142,609 Kailua Rd,Kailua,96734,HI
16,GROCERY,,2012-06-30,21.393764,-157.742664,629 Kailua Rd,Kailua,96734,HI
17,SHOPPING_CENTER,,2019-11-15,21.335709,-157.868093,1620 School St,Honolulu,96817,HI
18,SHOPPING_CENTER,,2013-03-19,21.276902,-157.705945,7192 Kalanianaole Hwy,Honolulu,96825,HI
19,SHOPPING_CENTER,,2013-03-19,21.293852,-157.851209,1170 Auahi St,Honolulu,96814,HI
20,SHOPPING_CENTER,,2013-12-10,37.756871,-122.253088,523 S Shore Center W,Alameda,94501,CA
21,PARKING_GARAGE,,2013-11-21,21.292728,-157.852474,1200 Ala Moana Blvd,Honolulu,96814,HI
22,PAY_GARAGE,,2018-08-15,37.785064,-122.405175,22 4th St,San Francisco,94103,CA
23,SHOPPING_MALL,,2014-08-01,37.727859,-122.476309,3251 20th Ave,San Francisco,94132,CA
24,SHOPPING_CENTER,,2014-08-01,37.726656,-122.475999,265 Winston Dr,San Francisco,94132,CA
25,SHOPPING_CENTER,,2015-01-01,20.922025,-156.694075,2435 Kaanapali Pkwy,Lahaina,96761,HI
26,GROCERY,,2015-05-01,34.151681,-118.466535,4520 N Sepulveda Blvd,Sherman Oaks,91403,CA
27,GROCERY,,2012-10-01,32.747691,-117.15813,711 University Ave,San Diego,92103,CA
28,SHOPPING_MALL,,2016-09-15,21.291831,-157.843532,1450 Ala Moana Blvd,Honolulu,96814,HI
29,GROCERY,,2016-11-01,34.022365,-118.43768,11666 National Blvd,Los Angeles,90064,CA
30,SHOPPING_CENTER,,2017-01-01,21.298706,-157.861588,327 Keawe St,Honolulu,96813,HI
31,OTHER_ENTERTAINMENT,,2017-01-01,21.294482,-157.852943,1044 Auahi St,Honolulu,96814,HI
32,GROCERY,,2015-08-01,33.754579,-118.109285,6550 E Pacific Coast Hwy,Long Beach,90803,CA
33,SHOPPING_CENTER,,2017-06-01,21.334285,-158.05342,91-5431 Kapolei Pkwy,Kapolei,96707,HI
34,GROCERY,,2017-11-01,33.696602,-117.826107,2437 Park Ave,Tustin,92782,CA
35,SHOPPING_MALL,,2017-12-01,41.839493,-88.007167,203 Yorktown Center,Lombard,60148,IL
